ticker,stage,start_date,end_date,goal_usd
GOG,ICO,2021-11-10,2021-11-10,5500000.0
GFloki,IDO,2021-11-10,2021-11-12,1200000.0
NUM,IDO,2021-11-09,2021-11-12,1200000.0
DANA,ICO,2021-10-28,2021-10-28,1000000.0
YIN,IDO,2021-11-03,2021-11-05,4500000.0
TEX,IDO,2021-11-03,2021-11-04,1980000.0
LAZIO,IEO,2021-10-14,2021-10-21,4000000.0
ANTEX,IDO,2021-10-10,2021-10-10,2880000.0
BETA,IEO,2021-09-29,2021-10-08,3000000.0
FOREX,ICO,2021-09-20,2021-09-22,4410000.0
DIVER,IDO,2021-09-20,2021-09-21,2000000.0
XNL,Private Sale,2021-04-09,2021-04-22,2300000.0
DMZ,Seed Sale,2021-09-06,2021-09-07,1200000.0
VEMP,IDO,2021-08-31,2021-08-31,2450000.0
MPT,IDO,2021-08-29,2021-08-30,1000000.0
TUP,ICO,2021-08-21,2021-09-05,8000000.0
PAL,IDO,2021-08-20,2021-09-01,10000000.0
PALG,ICO,2021-08-05,2021-09-05,8000000.0
DERC,IDO,2021-07-26,2021-07-28,2040000.0
C98,IEO,2021-07-15,2021-07-23,3750000.0
DVF,IDO,2021-07-08,2021-07-10,1000000.0
HMT,IEO,2021-06-17,2021-06-22,50000000.0
BZZ,ICO,2021-06-13,2021-06-14,9933953.0
ITGR,ICO,2021-06-10,2021-06-13,4410000.0
Sunder,IDO,2021-06-06,2021-06-09,15000000.0
SAFEBTC,ICO,2021-06-02,2021-06-05,2000000.0
STC,ICO,2021-02-01,2021-04-30,21000000.0
LESS,Presale,2021-05-27,2021-06-01,1650000.0
CFG,IEO,2021-05-26,2021-05-31,3506250.0
COW,ICO,2021-05-25,2021-05-25,1500000.0
CERE,ICO,2021-04-07,2021-04-15,27800000.0
WEC,IEO,2021-05-13,2021-05-19,2300000.0
SLIM,IDO,2021-05-20,2021-05-21,1000000.0
NFT,IEO,2021-05-20,2021-05-20,2399976.0
HOTCROSS,IFO,2021-05-20,2021-05-20,2500000.0
O3,IEO,2021-05-12,2021-05-14,19215000.0
KRYPTO,IDO,2021-04-30,2021-04-30,1500000.0
FINE,IDO,2021-04-26,2021-04-27,3090000.0
BOSON,IDO,2021-04-06,2021-04-07,4500000.0
FEI,IDO,2021-03-31,2021-04-03,100000000.0
TKO,IEO,2021-03-31,2021-04-06,7500000.0
COOK,IDO,2021-03-30,2021-03-31,300000000.0
CSPR,IEO,2021-03-22,2021-03-22,12000000.0
VEN,IDO,2021-03-22,2021-03-24,7500000.0
ORAO,IDO,2021-03-21,2021-03-24,1000000.0
DEFIT,IDO,2021-03-14,2021-03-30,1111000.0
TARA,ICO,2021-03-11,2021-03-11,3000000.0
LINA,IEO,2021-03-11,2021-03-18,1800000.0
BELT,IDO,2021-03-10,2021-03-10,3000000.0
ETHA,IDO,2021-03-04,2021-03-04,10000000.0
ARC,ICO,2021-03-03,2021-03-09,7800000.0
DEGO,IEO,2021-03-03,2021-03-10,1900000.0
MASK,ITO,2021-02-22,2021-02-24,2700000.0
erowan,IDO,2021-02-18,2021-02-27,10000000.0
ACM,IEO,2021-02-17,2021-02-24,1000000.0
SFP,IEO,2021-02-02,2021-02-08,5000000.0
AXS,IEO,2020-10-25,2020-11-04,2970000.0
INJ,IEO,2020-10-10,2020-10-20,3600000.0
ALPHA,IEO,2020-10-02,2020-10-10,2000000.0
SAND,IEO,2020-08-05,2020-08-19,2000000.0
UCOIN,ICO,2020-06-30,2021-07-04,50000000.0
CTSI,IEO,2020-04-16,2020-04-22,1500000.0
WRX,IEO,2020-01-27,2020-02-04,2000000.0
TROY,IEO,2019-11-27,2019-12-04,4000000.0
KAVA,IEO,2019-10-18,2019-10-24,3000000.0
BAND,IEO,2019-09-10,2019-09-17,5850000.0
PERL,IEO,2019-08-18,2019-08-25,6700000.0
WIN,IEO,2019-07-24,2019-07-31,6000000.0
EGLD,IEO,2019-06-25,2019-07-02,3250000.0
ONE,IEO,2019-05-21,2019-05-28,5000000.0
MATIC,IEO,2019-04-18,2019-04-25,5000000.0
